map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,peak_lps,mean_lps,calibration,drifted_%,passed,fail
LR_LM_LC_LR_LR,B,1,mixed,low,0.05,0.75,35.762168884277344,48.48495864868164,100.0,562.1567829165497,298.65527555246314,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,B,1,mixed,low,0.05,1.0,34.920658111572266,48.48662185668945,100.0,579.8344462987718,297.8447083200321,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,B,1,commercial,low,0.05,0.0,33.86431121826172,48.4812126159668,100.0,585.2645917014819,299.65418672774,1.0,100.0,True,
LR_LM_LC_LR_LR,B,1,commercial,low,0.05,0.25,34.34387969970703,48.48289108276367,100.0,590.6643723596927,305.82510315393876,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,B,1,commercial,low,0.05,0.5,30.53109359741211,48.48435974121094,100.0,666.0729145720611,314.01849108147513,0.7974603006999381,100.0,True,
LR_LM_LC_LR_LR,B,1,commercial,low,0.05,0.75,25.40547752380371,48.485595703125,100.0,758.3938948484899,324.32193921371805,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,B,1,commercial,low,0.05,1.0,18.97230339050293,48.48662185668945,100.0,863.1409005679905,336.71655712447927,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,B,1,industrial,low,0.05,0.0,34.012996673583984,48.47938537597656,100.0,581.5730554660033,299.6018489483975,1.0,100.0,True,
LR_LM_LC_LR_LR,B,1,industrial,low,0.05,0.25,34.1298828125,48.481300354003906,100.0,584.428846460674,323.56583083556694,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,B,1,industrial,low,0.05,0.5,31.567047119140625,48.48317337036133,100.0,650.9959280274394,362.9432743424475,0.7974603006999381,100.0,True,
LR_LM_LC_LR_LR,B,1,industrial,low,0.05,0.75,25.115917205810547,48.48495864868164,100.0,773.686758062836,424.46732862713577,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,B,1,industrial,low,0.05,1.0,7.278212547302246,48.48662185668945,99.05885658098047,1026.2305016669245,517.2034557030665,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,C,1,mixed,low,0.05,0.0,32.86328125,48.47938537597656,100.0,607.4171107096732,302.8958531788979,1.0,100.0,True,
LR_LM_LC_LR_LR,C,1,mixed,low,0.05,0.25,34.057247161865234,48.481300354003906,100.0,586.0124663843206,299.5582454144501,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,C,1,mixed,low,0.05,0.5,35.28669738769531,48.48317337036133,100.0,562.4141551242074,295.49786871969854,0.7974603006999381,100.0,True,
LR_LM_LC_LR_LR,C,1,mixed,low,0.05,0.75,36.40011978149414,48.48495864868164,100.0,546.9774796338194,290.71205203257387,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,C,1,mixed,low,0.05,1.0,36.0758056640625,48.48662185668945,100.0,552.1467471983161,285.2347258818125,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,C,1,commercial,low,0.05,0.0,33.23938751220703,48.47938537597656,100.0,599.0588957335225,302.3371646357866,1.0,100.0,True,
LR_LM_LC_LR_LR,C,1,commercial,low,0.05,0.25,34.17229080200195,48.481300354003906,100.0,583.3832845588009,301.413932805685,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,C,1,commercial,low,0.05,0.5,35.0763053894043,48.48317337036133,100.0,567.3740720541828,300.4564518871902,0.7974603006999381,100.0,True,
LR_LM_LC_LR_LR,C,1,commercial,low,0.05,0.75,35.762168884277344,48.48495864868164,100.0,562.1567829165497,299.4839429968297,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,C,1,commercial,low,0.05,1.0,34.920658111572266,48.48662185668945,100.0,579.8344462987718,298.51638129780827,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,C,1,industrial,low,0.05,0.0,33.60609436035156,48.47938537597656,100.0,590.8068333163462,302.24445904769937,1.0,100.0,True,
LR_LM_LC_LR_LR,C,1,industrial,low,0.05,0.25,34.03886032104492,48.481300354003906,100.0,586.4324596521126,307.35518632337335,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,C,1,industrial,low,0.05,0.5,34.03555679321289,48.48317337036133,100.0,591.3552998882149,316.98313824438026,0.7974603006999381,100.0,True,
LR_LM_LC_LR_LR,C,1,industrial,low,0.05,0.75,33.34159469604492,48.48495864868164,100.0,610.8461101248142,333.4075488860182,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,C,1,industrial,low,0.05,1.0,31.56065559387207,48.48662185668945,100.0,656.630605813626,359.7378328658603,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,D,1,mixed,low,0.05,0.0,34.7637939453125,48.48452377319336,100.0,568.0091323642943,299.08078977765877,1.0,100.0,True,
