map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,drifted_%,front_done,peak_lps,mean_lps,calibration,mass_err,dd_err,passed,fail
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,0.5,27.685148239135742,48.42337417602539,100.0,100.0,True,720.9931274110722,363.3998868319745,1.0,9.70842179981446e-08,1.2928185818042272e-07,True,
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,0.75,24.470808029174805,48.4038200378418,100.0,100.0,True,777.4576770350519,400.60237332890586,1.0,8.949832874804997e-08,1.448279162909771e-07,True,
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,1.0,20.062488555908203,48.37599182128906,100.0,100.0,True,849.3982020623396,447.99882264287305,1.0,8.139554097397195e-08,1.551193382817334e-07,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,0.0,32.72666931152344,48.440589904785156,100.0,100.0,True,623.2840716825465,309.88093333106417,1.0,1.1042107672665225e-07,1.6958895445360117e-07,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,0.25,30.207090377807617,48.418521881103516,100.0,100.0,True,673.743205581472,348.19885415578057,1.0,1.0039143916173998e-07,1.3175149611742145e-07,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,0.5,26.1928768157959,48.380470275878906,100.0,100.0,True,747.7163967277099,404.3679690660179,1.0,8.859530709059982e-08,1.628081961653876e-07,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,0.75,18.64139747619629,48.31282043457031,100.0,100.0,True,866.150528831608,486.704625176137,1.0,0.0,1.1251319723943654e-07,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,1.0,-3.2296807765960693,48.18906784057617,79.37210282343025,100.0,True,1142.430625929872,607.3995115069954,1.0,0.0,1.478907028226127e-07,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,0.0,33.518714904785156,48.23039245605469,100.0,100.0,True,606.6719942147879,306.83985453906064,1.0,1.1050673975887548e-07,1.316986776168087e-07,True,
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,0.25,29.87825584411621,47.86435317993164,100.0,100.0,True,680.139589263401,370.3555150361615,1.0,9.433158965066468e-08,1.350276340920429e-07,True,
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,0.5,22.375011444091797,46.860599517822266,100.0,100.0,True,812.515678070545,484.8027168620639,1.0,7.464446838412186e-08,1.3191343978348973e-07,True,
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,0.75,5.880980491638184,44.016510009765625,96.74989464812474,100.0,True,1051.0362961333576,691.0221264260521,1.0,0.0,1.4067473657080042e-07,False,V4_band
